Station	Stream URL	City	Genres separated by comma	Timezone
KBYU-FM Classical 89	https://radio.byub.org/classical89/classical89_mp3	Provo/Salt Lake City	"Classical, Opera, Choral, Chamber Music, Symphonic"	America/Denver
KUER-FM	https://kuer.streamguys1.com/high_icy	Salt Lake City	"NPR News, Jazz (Nightly), Indie Rock (HD2), Public Radio, Storytelling"	America/Denver
KGRA	https://www.radioking.com/play/kgra-digital-broadcasting/508184	"Independence, Missouri"	"Paranormal, UFOlogy, Alternative Talk, Conspiracies, Fringe Science"	America/Chicago
WQXR-FM	https://stream.wqxr.org/wqxr	New York	"Classical, Opera, Baroque, Romantic, Symphonic"	America/New_York
WKCR-FM	http://wkcr.streamguys1.com/live.m3u	New York	"Free Jazz, Avant-Garde, Classical, New Music, American Roots, Salsa, Experimental"	America/New_York
WBGO Jazz 88	https://ais-sa8.cdnstream1.com/3629_128.mp3	Newark/New York	"Jazz, Blues, Soul, R&B, Bebop, Latin Jazz"	America/New_York
WWOZ	https://wwoz-sc.streamguys1.com/wwoz-hi.mp3	New Orleans	"New Orleans Jazz, Zydeco, Cajun, Swamp Pop, Blues, R&B, Funk, Soul"	America/Chicago
TSF Jazz	http://tsfjazz.ice.infomaniak.ch/tsfjazz-high.mp3	Paris	"Jazz, Swing, Bossa Nova, Soul, Blues"	Europe/Paris
BBC Radio 3	https://a.files.bbci.co.uk/ms6/live/3441A116-B12E-4D2F-ACA8-C1984642FA4B/audio/simulcast/dash/nonuk/pc_hd_abr_v2/aks/bbc_radio_three.mpd	London	"Classical, Contemporary Classical, Opera, Jazz, World Music, Drama, Arts"	Europe/London
BBC Radio 6 Music	https://a.files.bbci.co.uk/ms6/live/3441A116-B12E-4D2F-ACA8-C1984642FA4B/audio/simulcast/dash/nonuk/pc_hd_abr_v2/aks/bbc_6music.mpd	London	"Alternative, Indie, Funk, Soul, Dance, Reggae, Experimental"	Europe/London
BBC Radio 2	https://a.files.bbci.co.uk/ms6/live/3441A116-B12E-4D2F-ACA8-C1984642FA4B/audio/simulcast/dash/nonuk/pc_hd_abr_v2/aks/bbc_radio_two.mpd	London	"Adult Contemporary, Pop, Soul, Country, Folk, Soft Rock"	Europe/London
BR-Klassik	https://dispatcher.rndfnk.com/br/brklassik/live/mp3/high	Munich	"Classical, Film Scores, Jazz (Late Night), Contemporary Classical"	Europe/Berlin
Radio Swiss Jazz	https://stream.srg-ssr.ch/m/rsj/mp3_128	Bern	"Jazz, Soul, Blues, Standards, Swing, Bebop"	Europe/Zurich
Radio Swiss Pop	https://stream.srg-ssr.ch/m/rsp/mp3_128	Bern	"Pop, Soft Rock, Adult Contemporary, Oldies"	Europe/Zurich
Radio Swiss Classic	https://stream.srg-ssr.ch/m/rsc_de/mp3_128	Bern	"Classical, Baroque, Romantic, Chamber Music"	Europe/Zurich
Antena 2	https://radiocast.rtp.pt/antena280a.mp3	Lisbon	"Classical, Culture, Early Music, Opera, Avant-Garde"	Europe/Lisbon
Antena 2 Jazz In	https://radiocast.rtp.pt/antena2jazzin80a.mp3	Lisbon	"Jazz, Smooth Jazz, Vocal Jazz, Bossa Nova"	Europe/Lisbon
Rádio MEC FM	https://radiomecfm-stream.ebc.com.br/ebc/radiomecfm/playlist.m3u8	Rio de Janeiro	"Classical, Choro, Instrumental Brazilian, Bossa Nova, Chamber Music"	America/Sao_Paulo
TMC Recife	https://playerservices.streamtheworld.com/api/livestream-redirect/RT_REC.mp3	Recife	"News, Sports, Debates, Interviews"	America/Recife
Nova Brasil FM Recife	https://playerservices.streamtheworld.com/api/livestream-redirect/NOVABRASIL_REC.mp3	Recife	"MPB (Música Popular Brasileira), Brazilian Pop, Samba, Adult Contemporary"	America/Recife
WFMT Classical Music	https://wfmt-live.streamguys1.com/wfmt128-mp3	Chicago	"Classical, Folk, Opera, Live Studio Performances"	America/Chicago
Rádio Cultura Brasil	https://stm8.painelvox.com:8052/;	São Paulo	"MPB, Brazilian Pop, Samba, Instrumental"	America/Sao_Paulo
FIP POP	https://icecast.radiofrance.fr/fippop-midfi.mp3	Paris	"Pop, Rock, Chanson"	Europe/Paris
FIP Hip Hop	https://icecast.radiofrance.fr/fiphiphop-midfi.mp3	Paris	"Hip Hop, Rap, R&B"	Europe/Paris
FIP autour du jazz	http://direct.fipradio.fr/live/fip-webradio2.mp3	Paris	Jazz	Europe/Paris
FIP autour du monde	http://direct.fipradio.fr/live/fip-webradio4.mp3	Paris	World Music	Europe/Paris
